Community,Name of the residence,Total Assisted Living units,Publicly subsidized units,Private pay units,Address,Phone,Fax,Website,healthAuthority
Abbotsford,Bevan Village,35,0,35,33386 Bevan Avenue,(604) 850-5416 ,(604) 850-5418 ,www.bevanvillage.ca ,Fraser Health Authority 
Abbotsford,Brookdale House,6,0,6,30961 Brookdale Crt,(604) 853-2035 ,n/a ,www.brookdale.house ,Fraser Health Authority 
Abbotsford,Hallmark on the Park,69,22,47,3055 Princess Street,(604) 859-0053 ,(604) 859-4678 ,baptisthousing.org ,Fraser Health Authority 
Abbotsford,Menno Assisted Living,95,41,54,2021 Primrose Street,(604) 851-4004 ,(604) 851-4015 ,www.mennoplace.ca ,Fraser Health Authority 
Abbotsford,Tabor Court,104,88,16,31954 Sunrise Crescent,(604) 859-8718Ext 2 ,(604) 859-8713 ,taborvillage.org ,Fraser Health Authority 
Burnaby,Courtyard Terrace,0,0,0,3730 Burke Street,(604) 437-6262 ,(604) 430-5131 ,www.parkplaceseniorsliving.com ,Fraser Health Authority 
Burnaby,Dania Manor,40,40,0,4155 Norland Avenue,(604) 299-1379 ,(604) 299-0179 ,www.dania.bc.ca ,Fraser Health Authority 
Burnaby,Liberty Place,20,20,0,7899 17th Avenue,(604) 526-9933 ,(604) 526-2207 ,striveliving.ca ,Fraser Health Authority 
Burnaby,Nikkei Home,59,59,0,6680 Southoaks Crescent,(604) 777-5000 ,(604) 777-5050 ,www.nikkeiplace.org ,Fraser Health Authority 
Burnaby,Rideau Retirement Residence,40,0,40,1850 Rosser Avenue,(604) 291-1792 ,(604) 291-2151 ,www.siennaliving.ca ,Fraser Health Authority 
Burnaby,Seton Villa,28,28,0,3755 McGill Street,(604) 291-0607 ,(604) 291-1871 ,www.setonvilla.com ,Fraser Health Authority 
Burnaby,Swedish Assisted Living Residence,56,46,10,7230 Halifax Street,(604) 420-3222 ,(604) 420-3234 ,swedishcanadian.ca ,Fraser Health Authority 
Vancouver,Amica Arbutus Manor,60,0,60,2125 Eddington Drive,(604) 736-8936 ,(604) 731-8933 ,www.amica.ca ,Vancouver Coastal Health Authority 
Vancouver,Chalmers Lodge,115,0,115,1450 West 12th Avenue,(604) 731-3178 ,(604) 731-3140 ,www.chalmerslodge.ca ,Vancouver Coastal Health Authority 
Vancouver,Clarendon Court,60,56,4,6404 Clarendon Street,(604) 324-6230 ,(604) 324-6224 ,www.baptisthousing.org/communities/clarendon-court ,Vancouver Coastal Health Authority 
Vancouver,Cooper Place,69,69,0,306 East Cordova Street,(604) 684-2545 ,(604) 684-2575 ,www.cccares.org ,Vancouver Coastal Health Authority 
Vancouver,Crofton Manor,30,0,30,2803 West 41st Avenue,(604) 263-0921 ,(604) 263-7719 ,www.reveraliving.com ,Vancouver Coastal Health Authority 
Vancouver,Granville Gardens Retirement,30,0,30,"Suite 100, 1550 W 49 Ave",(604) 563-3540 ,(604) 564-5633 ,granvillegardens.net ,Vancouver Coastal Health Authority 
Vancouver,Harmony House - Vancouver,33,32,1,580 Shanghai Alley,(604) 648-0012 ,(604) 648-0056 ,n/a ,Vancouver Coastal Health Authority 
Vancouver,Haro Park,28,28,0,1233 Haro Street,(604) 687-5584 ,(604) 687-0645 ,www.haropark.org/ ,Vancouver Coastal Health Authority 
Vancouver,Honoria Conway at St. Vincent's Heather,60,60,0,4875 Heather Street,(604) 876-7191 ,(604) 876-7196 ,www.providencehealthcare.org/hospitals-residences/st-vincents-honoria-conway-heather ,Vancouver Coastal Health Authority 
Vancouver,Icelandic Harbour,69,69,0,2020 Harrison Drive,(604) 321-3812 ,(604) 321-3863 ,n/a ,Vancouver Coastal Health Authority 
Vancouver,Legacy Senior Living - The Leo Wertman Residence,20,0,20,611 West 41 Ave,(604) 240-8550 ,(604) 683-0355 ,www.legacyseniorliving.com ,Vancouver Coastal Health Authority 
Vancouver,Millennium Tower,40,40,0,1175 Broughton Street,(604) 408-9897 ,(604) 408-9868 ,n/a ,Vancouver Coastal Health Authority 
Vancouver,Southview Heights,53,53,0,7252 Kerr Street,(604) 438-3367 ,(604) 438-0262 ,n/a ,Vancouver Coastal Health Authority 
Vancouver,Tapestry at Arbutus Walk,45,0,45,2799 Yew Street,(604) 736-1640 ,(604) 736-1679 ,www.discovertapestry.com ,Vancouver Coastal Health Authority 
Vancouver,Tapestry at Wesbrook Village,35,0,35,3338 Wesbrook Mall,(604) 225-5000 ,(604) 225-5002 ,www.discovertapestry.com/contact-us/ ,Vancouver Coastal Health Authority 
Vancouver,Terraces on 7th,40,12,28,1570 West 7th Avenue,(604) 738-8380 ,(604) 738-8386 ,terracesonseventh.com ,Vancouver Coastal Health Authority 
Vancouver,The Cedars at Beulah Gardens,89,89,0,3355 East 5th Avenue,(604) 251-4114 ,(604) 251-4116 ,bghomes.ca/the-cedars ,Vancouver Coastal Health Authority 
Vancouver,The Harry and Jeanette Weinberg (of Baltimore) Residence,40,15,25,5650 Osler Street,(604) 261-9622 ,(604) 261-9644 ,weinbergresidence.com/assisted-living/ ,Vancouver Coastal Health Authority 